"ca","k","MAP","integralfnoc rel error (%)","averwp1 rel error (%)","averE rel error (%)","averA rel error (%)","averm rel error (%)","avercica rel error (%)","fL","averw","averE","averA","averm","avercica"
400,0.025,100,3.39663312969634e-07,0.00340036365299308,2.1254622393809,2.14542228372093e-07,0.00066860070801124,0.00283245449982277,0.853436208774054,0.17442982713107,0.000547945222650754,1.50815173008328,0.85005648353042,0.0898936964617614
400,0.05,100,0.000492312994914485,0.000717986705830918,0.136098863041896,3.16431652905825e-08,0.00134842849928758,0.00385028861650446,0.818124054784878,0.173866867832606,0.000547945491306224,1.75447101433774,1.18844747143446,0.104262705527021
400,0.1,100,5.10005692009437e-07,0.0412461615089638,0.000138602759636431,3.14089499013129e-06,2.72574087625767e-06,0.00734897914942398,0.784225736145264,0.173436538341006,0.000547945180850102,1.96088635005404,1.52403773289377,0.116418701189781
400,0.025,200,6.25562299209297e-07,0.00221940030938787,0.330917684233786,4.85084035222624e-07,0.000669871512605083,0.00193885000895089,0.780337986628636,0.178210524732177,0.00109589042973765,2.43770962212948,1.04436652947991,0.146114875933696
400,0.05,200,1.88238134881674e-07,0.00290156401914466,0.00082851241810489,5.37498835218103e-07,6.97538410431889e-05,0.00269058524700172,0.71999204898543,0.176574721539067,0.0010958900561631,2.92209567740992,1.57619331615012,0.174295878153045
400,0.1,200,0.000458480063876996,0.000903332891332859,0.00198281662772549,6.51137480459573e-07,1.06656314278479e-06,0.00529361582314991,0.654490171340929,0.175464425135824,0.00109589161064791,3.39290768418894,2.19749750906901,0.201718123229382
400,0.025,300,0.000464984379969624,0.00110299134952624,0.13449533195451,0.001880930786308,0.000658214880571122,0.00469071953510051,0.725540312657777,0.183699637869939,0.00164383319648735,3.1826269105698,1.11675766431856,0.191557716924243
400,0.05,300,9.71589505312031e-07,0.0029552483222687,0.862217331190839,1.83797671505144e-06,0.000304497906071441,0.00208279038643623,0.649823005405688,0.180267009815932,0.00164383573242394,3.83515486050105,1.73737956352331,0.229563997462361
400,0.1,300,1.82177101445413e-06,0.00319814690494231,0.0196909965441353,2.71586418810139e-06,2.10919418553518e-05,0.00331163001750027,0.563107259209991,0.178226516039141,0.00164383464316377,4.51936768729459,2.51575940687613,0.269346918207622
400,0.025,400,0.000498443272891613,0.00198346602715744,0.0757643369419662,0.00157572558993034,0.000641245793941901,0.00157614067571371,0.679140379374551,0.191156823885972,0.00219164143050504,3.8367470967193,1.14319739473848,0.231669457462111
400,0.05,400,2.14599811563215e-06,0.00271520990729198,0.375717620368136,3.43565321917383e-06,0.000401036752585125,0.00175227047408118,0.593879833179919,0.184981504708106,0.00219178090664877,4.6049871036951,1.80164450622671,0.276482917253492
400,0.1,400,3.68056568799657e-06,0.00349906856092897,0.0139462932640996,5.67400164800717e-06,0.000417160536446018,0.00246931391283257,0.493269136569668,0.18164391248378,0.00219177917256486,5.45009336332109,2.6558980856246,0.325643299661529
