"ca","k","MAP","integralfnoc rel error (%)","averwp1 rel error (%)","averE rel error (%)","averB rel error (%)","f0","averw","averE","averB"
400,0.025,100,1.51387224521421e-06,0.0127699974483387,0.619179094110706,2.39039262146334e-06,0.927867186593457,0.135703963287979,0.000547945227705711,0.491963572971611
400,0.05,100,1.42666903808464e-05,0.00645676104774604,0.081032073343739,1.91017081438904e-05,0.897612039823943,0.135599354998143,0.000547945247331617,0.548749072594398
400,0.1,100,5.38678214508336e-05,0.0154740173894987,1.2888796973219,4.9972350622157e-05,0.862328715059647,0.135496892580596,0.000547945242943764,0.543365318067763
400,0.025,200,2.92752458019613e-07,0.00875824216271427,0.202385095100987,4.04999670692234e-06,0.904075057177476,0.136660345133668,0.00109589048658149,0.801124943042312
400,0.05,200,3.83082254950387e-06,0.00452146739051152,1.46613209675359,6.20934637266358e-07,0.859764357526416,0.136357354794862,0.00109589056521707,0.977252518956195
400,0.1,200,2.29972562444929e-05,0.00723635130862255,0.132555890727253,3.29311308602628e-06,0.802773186875485,0.136155873629177,0.00109589058064439,1.09800989106303
400,0.025,300,1.12971851478487e-06,0.00703298395379579,0.11677471043467,6.67674730855447e-06,0.88735966117547,0.13794630596117,0.00164383508168308,1.0399381912553
400,0.05,300,1.10859115447957e-06,0.00414195989257007,0.726965257906322,5.27213923792332e-06,0.834909225794472,0.137254067403154,0.0016438358747487,1.30413603008184
400,0.1,300,1.07314630976965e-05,0.00228611969455538,0.0439947042581952,1.05218172155089e-06,0.76405712476978,0.136896247691469,0.00164383592555611,1.54859443029426
400,0.025,400,1.75777452237242e-06,0.00586430509004876,0.897272663823566,7.75261247743333e-06,0.873425107057174,0.139609091736464,0.00219173974290677,1.24757891503947
400,0.05,400,3.50715205878736e-07,0.00381495397383624,0.46176104916541,7.81049550565313e-06,0.815663683780689,0.138310210232446,0.00219178116347518,1.57652651618622
400,0.1,400,0.00130222674965821,0.00076880048188792,0.0220086765587259,4.78008748085265e-06,0.735169483224578,0.137706948986442,0.00219178155811021,1.92578157276875
400,0.025,500,2.24006416102019e-06,0.00497340377199127,0.667212256097369,8.23878711823846e-06,0.86092263030653,0.141675020358365,0.00273925938198708,1.43823119607657
400,0.05,500,2.9515387673774e-07,0.00350898914960957,0.334969508042332,9.14685641623221e-06,0.79946941010562,0.139546194555602,0.0027397263630901,1.81613874573425
400,0.1,500,0.000566806443278095,0.000223039617588166,0.0135834364069797,7.39557908813485e-06,0.711923813511899,0.138592933723793,0.00273972692626831,2.25223631566597
400,0.025,600,2.63071378790266e-06,0.00426382887435889,0.529910726007057,8.46601392638641e-06,0.849289442321335,0.144144981461398,0.00328515443908276,1.61814010995573
400,0.05,600,6.44572620736783e-07,0.00322874777608097,0.260788353855246,9.91362026765109e-06,0.785156025142938,0.140979151748696,0.00328766963730688,2.03429799338743
400,0.1,600,0.000231795863974164,2.7170556445416e-05,0.00944506573647338,9.0489705691291e-06,0.692291681558461,0.139562069466292,0.00328767229018161,2.54240396183648
400,0.025,700,2.95983215525565e-06,0.00368970920689428,0.440759454944636,8.55609142352347e-06,0.838268130204722,0.146989839465866,0.00382703411121152,1.79015112967627
400,0.05,700,1.04126968935133e-06,0.00297185470983683,0.213918399288728,1.03903317888917e-05,0.772099053602575,0.142623628958199,0.00383559592513457,2.23753638636284
400,0.1,700,7.39003329545443e-05,2.51704746437149e-05,0.00712174096039231,1.01119606071272e-05,0.675145273712289,0.140622427654208,0.0038356176505946,2.80568169732921
400,0.025,800,3.24616234049522e-06,0.00322276017145458,0.37944220589223,8.58541260259606e-06,0.827743439223135,0.15015551904757,0.00436169050327418,1.95543531752408
400,0.05,800,1.43688815682973e-06,0.00273625428785753,0.181932475158782,1.07071953130947e-05,0.759930814574776,0.144491727073748,0.00438344129097419,2.42990283402878
400,0.1,800,7.30222758545067e-06,9.10196772834966e-05,0.00567389662274938,1.08296414974655e-05,0.659797882145936,0.141781759647598,0.00438356300461501,3.04841779251273
400,0.025,900,3.50118638563095e-06,0.002841947563717,0.33513946741964,8.59320675426178e-06,0.817668911627601,0.153574140127129,0.0048857046815785,2.11434455552591
400,0.05,900,1.82332647177993e-06,0.00252026920382928,0.158821896241277,1.0910234395068e-05,0.748420353792978,0.146592360072247,0.00493103143412038,2.6140286316319
400,0.1,900,1.61393423922179e-05,0.00014983816765783,0.00468252204523404,1.13476721944118e-05,0.645803154436317,0.143047448382253,0.00493150831076976,3.27505823934061
400,0.025,1000,3.73244659204439e-06,0.0025303407442643,0.30195196607063,8.59479247161376e-06,0.808029200398295,0.157174850457459,0.00539595968718712,2.26688020553587
400,0.05,1000,2.19915847128949e-06,0.00232254469606108,0.141108461042717,1.10548146848354e-05,0.737416861974943,0.148930069561231,0.00547801607577653,2.79166480765181
400,0.1,1000,5.10720083932565e-05,0.00019623184746795,0.00398261311799867,1.17426219304127e-05,0.632856250021133,0.144426577553113,0.00547945327870287,3.48881620431774
400,0.025,1100,3.94514255812802e-06,0.00227413394648249,0.275930710805805,8.59798985281863e-06,0.798820426568777,0.160891347156559,0.00588993272775184,2.41294379812223
400,0.05,1100,2.56443302482871e-06,0.00214195394961554,0.127189478186113,1.11740934847985e-05,0.726820185500344,0.151504023582685,0.00602382733595048,2.96397750616966
400,0.1,1100,8.5165005797027e-05,0.00023114522965976,0.00346663381999385,1.20289429996357e-05,0.620740726087894,0.145926009578781,0.006027396583118,3.69207702224282
400,0.025,1200,4.14163927857721e-06,0.00206219298650754,0.255307471130053,8.60491453211624e-06,0.790040517353172,0.164665891631737,0.00636579211796554,2.5524586738988
400,0.05,1200,2.91905011918103e-06,0.00197748397931213,0.116089631610038,1.12788391565171e-05,0.716563927471645,0.154307616792732,0.00656767676962072,3.13172676081995
400,0.1,1200,0.000115096248600094,0.000256565646579164,0.00307302836809339,1.2288222091032e-05,0.609298026054499,0.147552430416186,0.00657533381159243,3.8866521301805
400,0.025,1300,4.32576073355724e-06,0.00188566931170928,0.238842481334924,8.61861771206319e-06,0.781685035724757,0.168450725396493,0.0068223692013665,2.6854183493905
400,0.05,1300,3.26408781198675e-06,0.00182815191663878,0.10705080310551,1.13768715584294e-05,0.706604851852347,0.157328756969988,0.00710858846591587,3.29538559865456
400,0.1,1300,0.000140413916041484,0.000274399958563205,0.00276439836712157,1.25377958256643e-05,0.598409011856147,0.14931233757719,0.00712325340876944,4.07394337075258
400,0.025,1400,4.49974386741114e-06,0.00173762573940381,0.225511831443851,8.63976711012552e-06,0.773745886231974,0.172207899638765,0.00725906779318278,2.81189636299536
400,0.05,1400,3.6003104026146e-06,0.00169295633061993,0.0995661853511649,1.14728725156615e-05,0.696915730240786,0.160550690140875,0.00764545554067469,3.45522546883095
400,0.1,1400,0.000161455430951653,0.0002862453166414,0.00251689406038856,1.27884384784859e-05,0.587982312493243,0.151211958989107,0.0076711302450085,4.25505211776748
400,0.025,1500,4.66530729363234e-06,0.00161273081534897,0.214596508154816,8.66834681103944e-06,0.766211405995382,0.17590829118311,0.00767575281760959,2.93203807199492
400,0.05,1500,3.92810820031477e-06,0.00157086292757702,0.0932845381826818,1.15694686986721e-05,0.687480272854996,0.163953130729541,0.00817710550633684,3.61138002322335
400,0.1,1500,0.000178759720532836,0.000293385295358803,0.00231468526105515,1.30462149091921e-05,0.577946721693352,0.153257104020655,0.00821891709379895,4.43085335744459
400,0.025,1600,4.82382297733248e-06,0.00150716862283601,0.205578078001803,8.70402243016748e-06,0.759067027796937,0.179530301177737,0.00807264140829577,3.04604568020151
400,0.05,1600,4.24778897086225e-06,0.00146081027846315,0.0879547376396003,1.16682142857376e-05,0.678289453705057,0.167513478902712,0.00870236298234721,3.7638932184829
400,0.1,1600,0.00019287442365083,0.000296838514876174,0.00214690708204639,1.33144212827226e-05,0.568246093620619,0.155452961986103,0.00876653494597862,4.60204700000971
400,0.025,1700,4.97640131552076e-06,0.00141984524170136,0.198074270599843,8.74631355739628e-06,0.752296097623246,0.183058519103531,0.00845020728989346,3.15416224177326
400,0.05,1700,4.55962496397653e-06,0.00136174530273279,0.0833923169300023,1.17699971170818e-05,0.669338839791368,0.171207967224647,0.00922010265563649,3.9127552113754
400,0.1,1700,0.000204294113086533,0.00029740920945296,0.00200276731052856,1.3594813763502e-05,0.55883582381063,0.157803873407885,0.00931386346374819,4.76919419607349
400,0.025,1800,5.12395207995423e-06,0.00133727570615412,0.191797744519233,8.79469019157068e-06,0.745880650256777,0.186482493937681,0.0088091019666319,3.25665725013064
400,0.05,1800,4.86388715332886e-06,0.00127263623016035,0.0794585490210746,1.18752924358898e-05,0.660626673051262,0.175012644368019,0.00972928938554368,4.05792850585631
400,0.1,1800,0.000213445433825418,0.000295745381581532,0.00187935303990125,1.38881791500716e-05,0.549680356690936,0.160313102916712,0.00986073289681063,4.93274372147502
400,0.025,1900,5.26722886707223e-06,0.00126479255258679,0.18652887399351,8.84862552392617e-06,0.739802064660217,0.189795670334654,0.00915009245725416,3.35381474646154
400,0.05,1900,5.16086472092817e-06,0.00119249844941487,0.076046953745875,1.19843226246952e-05,0.652152524123361,0.17890415701782,0.0102290051746471,4.19936634737291
400,0.1,1900,0.000220689019533114,0.000292364673317954,0.00177349132950866,1.4194262865445e-05,0.540751368019573,0.162982640238243,0.0104069185110698,5.09305177597621
400,0.025,2000,5.40686234339831e-06,0.00120253642303972,0.182097311381547,8.90762313142575e-06,0.734041580430877,0.192994501622823,0.00947401363185732,3.44592405104744
